ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ Áõ±â¾Ð(hPa),Æò±Õ ÇöÁö±â¾Ð(hPa),ÃÖ°í ÇØ¸é±â¾Ð(hPa),ÃÖÀú ÇØ¸é±â¾Ð(hPa),Æò±Õ ÇØ¸é±â¾Ð(hPa),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),Æò±Õ Àü¿î·®(1/10)
90,¼ÓÃÊ,2023-05-24,10.7,1011.4,1014.9,1012.4,1013.5,11.4,,4.1
90,¼ÓÃÊ,2023-05-25,13.1,1013.2,1017.1,1013.7,1015.3,9.2,,5.5
90,¼ÓÃÊ,2023-05-26,13.7,1014.7,1018,1015.2,1016.8,10.7,,6.4
90,¼ÓÃÊ,2023-05-27,16.4,1015.2,1018.1,1016.3,1017.2,2.8,,8.9
90,¼ÓÃÊ,2023-05-28,17.3,1010.7,1016.4,1011.6,1012.8,0,,10
90,¼ÓÃÊ,2023-05-29,18.4,1009.8,1012.9,1010.9,1011.8,7,,7
90,¼ÓÃÊ,2023-05-30,17.3,1011.5,1015,1011,1013.6,4.9,,6.9
90,¼ÓÃÊ,2023-05-31,15.9,1009.3,1014.4,1008.3,1011.4,10.5,,4.6
90,¼ÓÃÊ,2023-06-01,17.1,1002.6,1008.5,1001.9,1004.7,3.6,,7.9
90,¼ÓÃÊ,2023-06-02,16.8,999.5,1005.9,999.5,1001.5,8.3,,5.9
90,¼ÓÃÊ,2023-06-03,11.3,1003.8,1006.9,1003.8,1005.8,13.8,,1.1
90,¼ÓÃÊ,2023-06-04,11.4,1005.8,1009.1,1006.1,1007.8,10.8,,3.1
90,¼ÓÃÊ,2023-06-05,13.4,1005.2,1009.1,1005,1007.2,12.9,,2.9
90,¼ÓÃÊ,2023-06-06,14.8,1002.7,1007.4,1002.7,1004.7,8.9,,3.6
90,¼ÓÃÊ,2023-06-07,16,1003.6,1007.5,1004.1,1005.6,13.9,,2.9
90,¼ÓÃÊ,2023-06-08,16,1000.5,1005.4,1000.7,1002.5,4.8,,8.3
90,¼ÓÃÊ,2023-06-09,16.4,1001.4,1005.1,1000.3,1003.4,13.4,,4.8
90,¼ÓÃÊ,2023-06-10,18.2,1004.4,1009.6,1004.1,1006.4,7.3,,8.6
90,¼ÓÃÊ,2023-06-11,19.1,1004.4,1008,1005.5,1006.4,3.3,,6.9
90,¼ÓÃÊ,2023-06-12,19.9,1004.7,1007.9,1005.4,1006.7,1.3,,7.6
90,¼ÓÃÊ,2023-06-13,19.8,1002.8,1005.8,1003.4,1004.8,6,,7.1
90,¼ÓÃÊ,2023-06-14,18.5,1005.3,1008.7,1004.8,1007.3,8.4,,4.6
90,¼ÓÃÊ,2023-06-15,19.6,1007,1009.9,1007.9,1009,6,,5.9
90,¼ÓÃÊ,2023-06-16,20.5,1008.4,1011.7,1009,1010.4,13.8,,.3
90,¼ÓÃÊ,2023-06-17,18.7,1007.3,1010.8,1007.7,1009.3,12.3,,2.9
90,¼ÓÃÊ,2023-06-18,21,1006.2,1010.2,1006.7,1008.2,10.8,,4.6
90,¼ÓÃÊ,2023-06-19,22.2,1007.6,1010.5,1008.3,1009.6,11.4,,4.5
90,¼ÓÃÊ,2023-06-20,20.9,1005.5,1009.2,1005.9,1007.5,.4,,9
90,¼ÓÃÊ,2023-06-21,19.3,1001,1006.9,1000.8,1003,1.2,,7.8
90,¼ÓÃÊ,2023-06-22,19.6,1000.9,1006,1001.3,1002.9,8.1,,6
90,¼ÓÃÊ,2023-06-23,20.9,1009,1014.7,1006,1011,13,,2.8
90,¼ÓÃÊ,2023-06-24,20.5,1013.3,1016.6,1014.2,1015.3,12.3,,1.3
90,¼ÓÃÊ,2023-06-25,22.2,1011.2,1014.9,1011.9,1013.3,11.6,,4
90,¼ÓÃÊ,2023-06-26,22.9,1005.7,1011.9,1004.6,1007.7,0,,9.8
90,¼ÓÃÊ,2023-06-27,21.6,1002.9,1007.9,1002.8,1004.9,11.6,,5.3
90,¼ÓÃÊ,2023-06-28,22.5,1002.9,1008.6,1002.9,1004.9,11.6,,3
90,¼ÓÃÊ,2023-06-29,23.1,999.1,1003.5,998.6,1001.1,0,,9.4
90,¼ÓÃÊ,2023-06-30,23.4,1000.3,1004.4,1000.1,1002.3,4.1,,6.4
90,¼ÓÃÊ,2023-07-01,23.8,1002.9,1006.7,1002.9,1004.9,8.4,,3.9
90,¼ÓÃÊ,2023-07-02,23.7,1005.5,1009.6,1003.9,1007.5,6.5,,6.9
90,¼ÓÃÊ,2023-07-03,25.1,1005.7,1009.3,1006,1007.7,2.5,,3.4
90,¼ÓÃÊ,2023-07-04,25.8,999.3,1006.2,994.7,1001.3,2.4,,8.1
90,¼ÓÃÊ,2023-07-05,22.3,988.8,996.1,987.3,990.7,9.4,,4.1
90,¼ÓÃÊ,2023-07-06,19.9,996.2,1001,995.9,998.1,7.5,,8.1
90,¼ÓÃÊ,2023-07-07,22.6,1000.5,1003.7,1000.9,1002.5,7.7,,4.6
90,¼ÓÃÊ,2023-07-08,23.5,1002.3,1005.3,1002.5,1004.3,6.6,,6.5
90,¼ÓÃÊ,2023-07-09,24.5,1001,1005,1000.7,1003,2.4,,7.4
90,¼ÓÃÊ,2023-07-10,24.5,999.9,1004.2,1000.6,1001.9,8.3,,6
90,¼ÓÃÊ,2023-07-11,23.4,1001,1005.1,1001.2,1003,4.2,,8
90,¼ÓÃÊ,2023-07-12,25.6,1002.8,1006.8,1002,1004.8,10,,6.9
90,¼ÓÃÊ,2023-07-13,27.7,1002.7,1006.3,1003,1004.7,.2,,9.8
90,¼ÓÃÊ,2023-07-14,28.6,994.1,1003,993.9,996.1,.8,,9.4
90,¼ÓÃÊ,2023-07-15,24.8,996.8,1002,995.8,998.8,0,,9.6
90,¼ÓÃÊ,2023-07-16,24.6,1003.7,1009.2,1001.5,1005.7,0,,10
90,¼ÓÃÊ,2023-07-17,26.3,1008.8,1012.3,1008.7,1010.8,0,,9
90,¼ÓÃÊ,2023-07-18,27.3,1008.6,1012.5,1008.5,1010.6,.3,,8.9
90,¼ÓÃÊ,2023-07-19,25.3,1006.1,1009.1,1006.9,1008.1,9.3,,1.9
90,¼ÓÃÊ,2023-07-20,26,1007.1,1011,1007.4,1009.1,8.8,,2.9
90,¼ÓÃÊ,2023-07-21,27.2,1011.8,1015.7,1011,1013.8,2.7,,4.6
90,¼ÓÃÊ,2023-07-22,26.9,1011.3,1015.8,1010.5,1013.3,9.1,,5.9
90,¼ÓÃÊ,2023-07-23,25.6,1004.8,1010.6,1005.2,1006.8,0,,10
90,¼ÓÃÊ,2023-07-24,27.6,1005.4,1009,1006.2,1007.4,7.2,,8.3
90,¼ÓÃÊ,2023-07-25,26,1009,1012.3,1008.7,1011,11.1,,4.9
90,¼ÓÃÊ,2023-07-26,27.4,1011.4,1014.5,1011.7,1013.4,5.2,,7.6
90,¼ÓÃÊ,2023-07-27,27.2,1011.2,1014.3,1011.8,1013.2,12.5,,5.1
90,¼ÓÃÊ,2023-07-28,28.9,1011.5,1014.7,1012.1,1013.5,11.5,,2.1
90,¼ÓÃÊ,2023-07-29,28.5,1011.9,1014.6,1013,1013.9,11.5,,3.9
90,¼ÓÃÊ,2023-07-30,26.4,1010.5,1014.5,1011,1012.5,13.1,,5.3
90,¼ÓÃÊ,2023-07-31,28.3,1010.2,1013.4,1011.1,1012.2,5.3,,5.8
90,¼ÓÃÊ,2023-08-01,29.1,1008.6,1012.5,1008.6,1010.6,11.1,,5.4
90,¼ÓÃÊ,2023-08-02,28.8,1004,1008.6,1003.6,1006,10.4,,4.6
90,¼ÓÃÊ,2023-08-03,24.8,1002,1005,1003,1003.9,12.9,,3.1
90,¼ÓÃÊ,2023-08-04,27.4,1000.3,1004,1001.1,1002.3,11.2,,3.3
90,¼ÓÃÊ,2023-08-05,27.7,997.9,1001.1,998,999.8,13.3,,3.6
90,¼ÓÃÊ,2023-08-06,31.4,998.6,1002.1,999.6,1000.6,2.1,,8.4
90,¼ÓÃÊ,2023-08-07,26.4,1001.5,1005.1,1001.2,1003.5,,,7.4
90,¼ÓÃÊ,2023-08-08,23.8,1005.1,1009,1004.7,1007.1,,,6.4
90,¼ÓÃÊ,2023-08-09,23.8,1006.5,1009.7,1006.2,1008.5,,,9.4
90,¼ÓÃÊ,2023-08-10,25.3,996.2,1007.3,990.9,998.2,,,9.5
90,¼ÓÃÊ,2023-08-11,24.3,997.2,1004,992.8,999.1,,,8.5
90,¼ÓÃÊ,2023-08-12,24.9,1003,1006.4,1003.5,1005,,,8.9
90,¼ÓÃÊ,2023-08-13,25.3,1004.7,1007.9,1005.5,1006.7,,,9
90,¼ÓÃÊ,2023-08-14,25.8,1006.4,1009.4,1007.5,1008.4,,,6.3
90,¼ÓÃÊ,2023-08-15,24.2,1005.8,1009.2,1006.7,1007.8,,,7.6
90,¼ÓÃÊ,2023-08-16,24.6,1003.8,1006.8,1004.6,1005.8,,,5.4
90,¼ÓÃÊ,2023-08-17,26.4,1004.5,1007.5,1005.5,1006.5,,,6.4
90,¼ÓÃÊ,2023-08-18,26.6,1006.6,1009.6,1007.2,1008.6,,,4.4
90,¼ÓÃÊ,2023-08-19,27.3,1009,1012.6,1009.5,1011,8,,3.5
90,¼ÓÃÊ,2023-08-20,28.1,1010.1,1013.4,1011,1012.1,2.2,,7.6
90,¼ÓÃÊ,2023-08-21,29.7,1006.2,1011.8,1005.4,1008.2,7.7,,5.6
90,¼ÓÃÊ,2023-08-22,28.4,1001.6,1005.5,1002,1003.6,8.4,,7.4
90,¼ÓÃÊ,2023-08-23,26.4,1005,1010.5,1004,1007,2.6,,8.9
90,¼ÓÃÊ,2023-08-24,25,1006.6,1010.2,1006.7,1008.6,0,,10
90,¼ÓÃÊ,2023-08-25,25.5,1004.6,1008.1,1005.4,1006.6,10.8,,4.3
90,¼ÓÃÊ,2023-08-26,23.5,1007.4,1010.4,1007.8,1009.4,10.7,,3.8
90,¼ÓÃÊ,2023-08-27,24.6,1008.9,1011.7,1009.6,1010.9,3.5,,8
90,¼ÓÃÊ,2023-08-28,23.8,1008.8,1012.7,1008.6,1010.8,0,,10
90,¼ÓÃÊ,2023-08-29,27.5,1003,1008.6,1002.5,1005,.2,,10
90,¼ÓÃÊ,2023-08-30,24.4,1006.4,1010,1006.4,1008.4,0,,8.8
90,¼ÓÃÊ,2023-08-31,22.9,1008.2,1011.4,1008.6,1010.2,6.8,,7.5
90,¼ÓÃÊ,2023-09-01,21.1,1009.3,1012,1010,1011.3,11.8,,2.5
90,¼ÓÃÊ,2023-09-02,20.8,1011.5,1014.4,1011.9,1013.5,12,,3.6
90,¼ÓÃÊ,2023-09-03,24,1012.5,1015.5,1013.6,1014.5,.4,,7.9
90,¼ÓÃÊ,2023-09-04,25.3,1012.5,1015.3,1013.9,1014.5,1.1,,9.1
90,¼ÓÃÊ,2023-09-05,25.5,1011.8,1015.1,1012.4,1013.8,5,,6.6
90,¼ÓÃÊ,2023-09-06,24.2,1012.5,1016.4,1012.7,1014.5,5.9,,4.1
90,¼ÓÃÊ,2023-09-07,21.7,1015.2,1018.4,1016.2,1017.2,11.7,,.9
90,¼ÓÃÊ,2023-09-08,21,1012.3,1017,1012.4,1014.3,12.1,,.3
90,¼ÓÃÊ,2023-09-09,20.9,1010.3,1013.3,1011.1,1012.3,12,,1.6
90,¼ÓÃÊ,2023-09-10,21.7,1009.9,1013.2,1011.2,1011.9,8,,3.3
90,¼ÓÃÊ,2023-09-11,22.8,1008,1011.2,1008.8,1010,4.5,,6.1
90,¼ÓÃÊ,2023-09-12,24.3,1008.8,1012.7,1009.7,1010.8,9.8,,6.1
90,¼ÓÃÊ,2023-09-13,22.1,1011.8,1015.2,1012.2,1013.8,0,,10
90,¼ÓÃÊ,2023-09-14,21.8,1013.7,1018.4,1012.7,1015.7,.7,,9.4
90,¼ÓÃÊ,2023-09-15,22.7,1014.1,1018.1,1014.4,1016.1,0,,9.8
90,¼ÓÃÊ,2023-09-16,23.9,1011.3,1014.8,1011.2,1013.3,0,,9.9
90,¼ÓÃÊ,2023-09-17,24.4,1009,1012.2,1009.6,1011,.7,,8.6
90,¼ÓÃÊ,2023-09-18,25,1009.6,1012.4,1010.8,1011.6,6.5,,5.9
90,¼ÓÃÊ,2023-09-19,20.4,1010.1,1013.3,1010.7,1012.1,8.8,,5.6
90,¼ÓÃÊ,2023-09-20,20.1,1012.3,1016.3,1012.7,1014.4,0,,9.4
90,¼ÓÃÊ,2023-09-21,15.4,1011.6,1015.1,1012.4,1013.7,1.2,,7.4
90,¼ÓÃÊ,2023-09-22,16,1014,1017.4,1014.6,1016.1,11.4,,1.3
